Field,ID,Type (Type),default,en,de,es,fr,pl,pt
SurfaceHubScreenshotCaption12,561,Texte,,,,,,,
SurfaceHubScreenshotCaption13,562,Texte,,,,,,,
SurfaceHubScreenshotCaption14,563,Texte,,,,,,,
SurfaceHubScreenshotCaption15,564,Texte,,,,,,,
SurfaceHubScreenshotCaption16,565,Texte,,,,,,,
SurfaceHubScreenshotCaption17,566,Texte,,,,,,,
SurfaceHubScreenshotCaption18,567,Texte,,,,,,,
SurfaceHubScreenshotCaption19,568,Texte,,,,,,,
SurfaceHubScreenshotCaption20,569,Texte,,,,,,,
SurfaceHubScreenshotCaption21,570,Texte,,,,,,,
SurfaceHubScreenshotCaption22,571,Texte,,,,,,,
SurfaceHubScreenshotCaption23,572,Texte,,,,,,,
SurfaceHubScreenshotCaption24,573,Texte,,,,,,,
SurfaceHubScreenshotCaption25,574,Texte,,,,,,,
SurfaceHubScreenshotCaption26,575,Texte,,,,,,,
SurfaceHubScreenshotCaption27,576,Texte,,,,,,,
SurfaceHubScreenshotCaption28,577,Texte,,,,,,,
SurfaceHubScreenshotCaption29,578,Texte,,,,,,,
SurfaceHubScreenshotCaption30,579,Texte,,,,,,,
StoreLogo720x1080,600,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
StoreLogo1080x1080,601,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
StoreLogo300x300,602,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False
StoreLogoOverride150x150,604,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
StoreLogoOverride71x71,605,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
PromoImage1920x1080,606,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
PromoImage2400x1200,607,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxBrandedKeyArt584x800,608,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxTitledHero1920x1080,609,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
XboxFeaturedPromo1080x1080,610,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
OptionalPromo358x358,611,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
OptionalPromo1000x800,612,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
OptionalPromo414x180,613,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Feature1,700,Texte,,Lists all your games that are compatible with Xbox Live Cloud.,"Listet alle Ihre Spiele auf, die mit Xbox Live Cloud kompatibel sind.",Enumera todos sus juegos que son compatibles con Xbox Live Cloud.,Répertorie tous vos jeux compatibles avec Xbox Live Cloud.,Wyświetla listę wszystkich gier zgodnych z usługą Xbox Live Cloud.,Lista todos os seus jogos compatíveis com o Xbox Live Cloud.
Feature2,701,Texte,,Export your saved game files to a folder of your choice,Exportiere deine gespeicherten Spieldateien in einen Ordner deiner Wahl,Exporta tus archivos de juego guardados a una carpeta de tu elección,Exporte vos fichiers de jeu enregistrés dans un dossier de votre choix,Wyeksportuj zapisane pliki gry do wybranego folderu,Exporte seus arquivos de jogo salvos para uma pasta de sua escolha
Feature3,702,Texte,,Rename your files to their readable name,Benennen Sie Ihre Dateien in ihren lesbaren Namen um,Cambie el nombre de sus archivos a su nombre legible,Renomme vos fichiers en leur nom lisible,Zmień nazwy plików na ich czytelną nazwę,Renomeie seus arquivos com seus nomes legíveis
Feature4,703,Texte,,,,,,,
Feature5,704,Texte,,,,,,,
Feature6,705,Texte,,,,,,,
Feature7,706,Texte,,,,,,,
Feature8,707,Texte,,,,,,,
Feature9,708,Texte,,,,,,,
Feature10,709,Texte,,,,,,,
Feature11,710,Texte,,,,,,,
Feature12,711,Texte,,,,,,,
Feature13,712,Texte,,,,,,,
Feature14,713,Texte,,,,,,,
Feature15,714,Texte,,,,,,,
Feature16,715,Texte,,,,,,,
Feature17,716,Texte,,,,,,,
Feature18,717,Texte,,,,,,,
Feature19,718,Texte,,,,,,,
Feature20,719,Texte,,,,,,,
MinimumHardwareReq1,800,Texte,,,,,,,
MinimumHardwareReq2,801,Texte,,,,,,,
MinimumHardwareReq3,802,Texte,,,,,,,
MinimumHardwareReq4,803,Texte,,,,,,,
MinimumHardwareReq5,804,Texte,,,,,,,
MinimumHardwareReq6,805,Texte,,,,,,,
MinimumHardwareReq7,806,Texte,,,,,,,
MinimumHardwareReq8,807,Texte,,,,,,,
MinimumHardwareReq9,808,Texte,,,,,,,
MinimumHardwareReq10,809,Texte,,,,,,,
MinimumHardwareReq11,810,Texte,,,,,,,
RecommendedHardwareReq1,850,Texte,,,,,,,
RecommendedHardwareReq2,851,Texte,,,,,,,
RecommendedHardwareReq3,852,Texte,,,,,,,
RecommendedHardwareReq4,853,Texte,,,,,,,
RecommendedHardwareReq5,854,Texte,,,,,,,
RecommendedHardwareReq6,855,Texte,,,,,,,
RecommendedHardwareReq7,856,Texte,,,,,,,
RecommendedHardwareReq8,857,Texte,,,,,,,
RecommendedHardwareReq9,858,Texte,,,,,,,
RecommendedHardwareReq10,859,Texte,,,,,,,
RecommendedHardwareReq11,860,Texte,,,,,,,
SearchTerm1,900,Texte,,transfert,transfer,transferir,transfert,transfer,transferir
SearchTerm2,901,Texte,,cloud,cloud,cloud,cloud,cloud,cloud
SearchTerm3,902,Texte,,xbox,xbox,xbox,xbox,xbox,xbox
SearchTerm4,903,Texte,,gamepass,gamepass,gamepass,gamepass,gamepass,gamepass
SearchTerm5,904,Texte,,save,speichern,guardar,sauvegarde,zapisz,salvar
SearchTerm6,905,Texte,,export,export,exportar,exportation,eksport,export
SearchTerm7,906,Texte,,game pass,game pass,game pass,game pass,game pass,game pass
TrailerToPlayAtTopOfListing,999,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer1,1000,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer2,1001,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer3,1002,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer4,1003,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer5,1004,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer6,1005,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer7,1006,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer8,1007,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer9,1008,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer10,1009,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer11,1010,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer12,1011,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer13,1012,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer14,1013,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
Trailer15,1014,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerTitle1,1020,Texte,,,,,,,
TrailerTitle2,1021,Texte,,,,,,,
TrailerTitle3,1022,Texte,,,,,,,
TrailerTitle4,1023,Texte,,,,,,,
TrailerTitle5,1024,Texte,,,,,,,
TrailerTitle6,1025,Texte,,,,,,,
TrailerTitle7,1026,Texte,,,,,,,
TrailerTitle8,1027,Texte,,,,,,,
TrailerTitle9,1028,Texte,,,,,,,
TrailerTitle10,1029,Texte,,,,,,,
TrailerTitle11,1030,Texte,,,,,,,
TrailerTitle12,1031,Texte,,,,,,,
TrailerTitle13,1032,Texte,,,,,,,
TrailerTitle14,1033,Texte,,,,,,,
TrailerTitle15,1034,Texte,,,,,,,
TrailerThumbnail1,1040,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail2,1041,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail3,1042,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail4,1043,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail5,1044,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail6,1045,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail7,1046,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail8,1047,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail9,1048,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail10,1049,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail11,1050,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail12,1051,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail13,1052,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail14,1053,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerThumbnail15,1054,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption1,1055,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption2,1056,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption3,1057,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption4,1058,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption5,1059,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption6,1060,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption7,1061,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption8,1062,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption9,1063,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption10,1064,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption11,1065,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption12,1066,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption13,1067,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption14,1068,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerClosedCaption15,1069,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription1,1070,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription2,1071,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription3,1072,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription4,1073,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription5,1074,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription6,1075,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription7,1076,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription8,1077,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription9,1078,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription10,1079,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription11,1080,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription12,1081,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription13,1082,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription14,1083,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
TrailerAudioDescription15,1084,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
